['2013', '07', '02', '07', '13', '38', '0.857600', '0']
['2013', '07', '02', '07', '13', '39', '0.864256', '0']
['2013', '07', '02', '07', '13', '40', '0.870912', '0']
['2013', '07', '02', '07', '13', '41', '0.877568', '0']
['2013', '07', '02', '07', '13', '42', '0.883968', '0']
['2013', '07', '02', '07', '13', '43', '0.890624', '0']
['2013', '07', '02', '07', '13', '44', '0.897280', '0']
['2013', '07', '02', '07', '13', '45', '0.903936', '0']
['2013', '07', '02', '07', '13', '46', '0.910592', '0']
['2013', '07', '02', '07', '13', '47', '0.917248', '0']
['2013', '07', '02', '07', '13', '48', '0.923904', '0']
['2013', '07', '02', '07', '13', '49', '0.930560', '0']
['2013', '07', '02', '07', '13', '50', '0.685312', '0']
['2013', '07', '02', '07', '13', '51', '0.691968', '0']
['2013', '07', '02', '07', '13', '52', '0.698624', '0']
['2013', '07', '02', '07', '13', '53', '0.705280', '0']
['2013', '07', '02', '07', '13', '54', '0.711936', '0']
['2013', '07', '02', '07', '13', '55', '0.718592', '0']
['2013', '07', '02', '07', '13', '56', '0.724992', '0']
['2013', '07', '02', '07', '13', '57', '0.480256', '0']
['2013', '07', '02', '07', '13', '58', '0.486912', '0']
['2013', '07', '02', '07', '13', '59', '0.493568', '0']
['2013', '07', '02', '07', '14', '00', '0.500224', '0']
['2013', '07', '02', '07', '14', '01', '0.506880', '0']
['2013', '07', '02', '07', '14', '02', '0.513536', '0']
['2013', '07', '02', '07', '14', '03', '0.519936', '0']
['2013', '07', '02', '07', '14', '04', '0.526592', '0']
['2013', '07', '02', '07', '14', '05', '0.533248', '0']
['2013', '07', '02', '07', '14', '06', '0.539904', '0']
['2013', '07', '02', '07', '14', '07', '0.546560', '0']
['2013', '07', '02', '07', '14', '08', '0.553216', '0']
['2013', '07', '02', '07', '14', '09', '0.307968', '0']
['2013', '07', '02', '07', '14', '10', '0.063232', '0']
['2013', '07', '02', '07', '14', '11', '0.069632', '0']
['2013', '07', '02', '07', '14', '12', '0.076288', '0']
['2013', '07', '02', '07', '14', '13', '0.082944', '0']
['2013', '07', '02', '07', '14', '14', '0.089600', '0']
['2013', '07', '02', '07', '14', '15', '0.096256', '0']
['2013', '07', '02', '07', '14', '16', '0.102912', '0']
['2013', '07', '02', '07', '14', '17', '0.109568', '0']
['2013', '07', '02', '07', '14', '18', '0.116224', '0']
['2013', '07', '02', '07', '14', '19', '0.122880', '0']
['2013', '07', '02', '07', '14', '20', '0.129536', '0']
['2013', '07', '02', '07', '14', '21', '0.136192', '0']
['2013', '07', '02', '07', '14', '22', '0.142592', '0']
['2013', '07', '02', '07', '14', '23', '0.149248', '0']
['2013', '07', '02', '07', '14', '24', '0.155904', '0']
['2013', '07', '02', '07', '14', '25', '0.162560', '0']
['2013', '07', '02', '07', '14', '26', '0.169216', '0']
['2013', '07', '02', '07', '14', '27', '0.175872', '0']
['2013', '07', '02', '07', '14', '28', '0.182528', '0']
['2013', '07', '02', '07', '14', '29', '0.189184', '0']
['2013', '07', '02', '07', '14', '30', '0.195840', '0']
['2013', '07', '02', '07', '14', '31', '0.202496', '0']
['2013', '07', '02', '07', '14', '32', '0.208896', '0']
['2013', '07', '02', '07', '14', '33', '0.215552', '0']
['2013', '07', '02', '07', '14', '34', '0.222208', '0']
['2013', '07', '02', '07', '14', '35', '0.228864', '0']
['2013', '07', '02', '07', '14', '36', '0.235520', '0']
['2013', '07', '02', '07', '14', '37', '0.242176', '0']
['2013', '07', '02', '07', '14', '38', '0.248832', '0']
['2013', '07', '02', '07', '14', '39', '0.255488', '0']
['2013', '07', '02', '07', '14', '40', '0.010240', '0']
['2013', '07', '02', '07', '14', '41', '0.016896', '0']
['2013', '07', '02', '07', '14', '42', '0.023552', '0']
['2013', '07', '02', '07', '14', '43', '0.030208', '0']
['2013', '07', '02', '07', '14', '44', '0.036864', '0']
['2013', '07', '02', '07', '14', '45', '0.043520', '0']
['2013', '07', '02', '07', '14', '46', '0.050176', '0']
['2013', '07', '02', '07', '14', '47', '0.056576', '0']
['2013', '07', '02', '07', '14', '48', '0.063232', '0']
['2013', '07', '02', '07', '14', '49', '0.069888', '0']
['2013', '07', '02', '07', '14', '50', '0.076544', '0']
['2013', '07', '02', '07', '14', '50', '0.831744', '0']
['2013', '07', '02', '07', '14', '51', '0.838400', '0']
['2013', '07', '02', '07', '14', '52', '0.845056', '0']
['2013', '07', '02', '07', '14', '53', '0.851712', '0']
['2013', '07', '02', '07', '14', '54', '0.858112', '0']
['2013', '07', '02', '07', '14', '55', '0.864768', '0']
['2013', '07', '02', '07', '14', '56', '0.871680', '0']
['2013', '07', '02', '07', '14', '57', '0.878080', '0']
['2013', '07', '02', '07', '14', '58', '0.884736', '0']
['2013', '07', '02', '07', '14', '59', '0.891392', '0']
['2013', '07', '02', '07', '15', '00', '0.898048', '0']
['2013', '07', '02', '07', '15', '01', '0.904704', '0']
['2013', '07', '02', '07', '15', '02', '0.911360', '0']
['2013', '07', '02', '07', '15', '03', '0.918016', '0']
['2013', '07', '02', '07', '15', '04', '0.924672', '0']
['2013', '07', '02', '07', '15', '05', '0.679424', '0']
['2013', '07', '02', '07', '15', '06', '0.686080', '0']
['2013', '07', '02', '07', '15', '07', '0.692736', '0']
['2013', '07', '02', '07', '15', '08', '0.699392', '0']
['2013', '07', '02', '07', '15', '09', '0.705792', '0']
['2013', '07', '02', '07', '15', '10', '0.712448', '0']
['2013', '07', '02', '07', '15', '11', '0.719104', '0']
['2013', '07', '02', '07', '15', '12', '0.725760', '0']
['2013', '07', '02', '07', '15', '13', '0.732416', '0']
['2013', '07', '02', '07', '15', '14', '0.487680', '0']
['2013', '07', '02', '07', '15', '15', '0.494080', '0']
['2013', '07', '02', '07', '15', '16', '0.500736', '0']
['2013', '07', '02', '07', '15', '17', '0.507392', '0']
['2013', '07', '02', '07', '15', '18', '0.514048', '0']
['2013', '07', '02', '07', '15', '19', '0.520704', '0']
['2013', '07', '02', '07', '15', '20', '0.527360', '0']
['2013', '07', '02', '07', '15', '21', '0.534016', '0']
['2013', '07', '02', '07', '15', '22', '0.540672', '0']
['2013', '07', '02', '07', '15', '23', '0.547328', '0']
['2013', '07', '02', '07', '15', '24', '0.553984', '0']
['2013', '07', '02', '07', '15', '25', '0.560640', '0']
['2013', '07', '02', '07', '15', '26', '0.567296', '0']
['2013', '07', '02', '07', '15', '27', '0.573696', '0']
['2013', '07', '02', '07', '15', '28', '0.580352', '0']
['2013', '07', '02', '07', '15', '29', '0.587008', '0']
['2013', '07', '02', '07', '15', '30', '0.593664', '0']
['2013', '07', '02', '07', '15', '31', '0.600320', '0']
['2013', '07', '02', '07', '15', '32', '0.606976', '0']
['2013', '07', '02', '07', '15', '33', '0.613632', '0']
['2013', '07', '02', '07', '15', '34', '0.620288', '0']
['2013', '07', '02', '07', '15', '35', '0.626688', '0']
['2013', '07', '02', '07', '15', '36', '0.633344', '0']
['2013', '07', '02', '07', '15', '37', '0.640000', '0']
['2013', '07', '02', '07', '15', '38', '0.646656', '0']
['2013', '07', '02', '07', '15', '39', '0.653312', '0']
['2013', '07', '02', '07', '15', '40', '0.659968', '0']
['2013', '07', '02', '07', '15', '41', '0.414720', '0']
['2013', '07', '02', '07', '15', '42', '0.421376', '0']
['2013', '07', '02', '07', '15', '43', '0.428032', '0']
['2013', '07', '02', '07', '15', '44', '0.434688', '0']
['2013', '07', '02', '07', '15', '45', '0.441344', '0']
['2013', '07', '02', '07', '15', '46', '0.448000', '0']
['2013', '07', '02', '07', '15', '47', '0.454656', '0']
['2013', '07', '02', '07', '15', '48', '0.461312', '0']
['2013', '07', '02', '07', '15', '49', '0.467968', '0']
['2013', '07', '02', '07', '15', '50', '0.474368', '0']
['2013', '07', '02', '07', '15', '51', '0.481024', '0']
['2013', '07', '02', '07', '15', '52', '0.487680', '0']
['2013', '07', '02', '07', '15', '53', '0.494336', '0']
['2013', '07', '02', '07', '15', '54', '0.500992', '0']
['2013', '07', '02', '07', '15', '55', '0.507648', '0']
['2013', '07', '02', '07', '15', '56', '0.514304', '0']
