347 1 1 duplicate
348 0 0  
348 2 1  
349 2 0  
349 3 1  
350 3 0 duplicate
350 0 1 duplicate
351 1 0 duplicate
351 1 1 duplicate
352 0 0 duplicate
352 2 1 duplicate
353 2 0 duplicate
353 3 1 duplicate
354 3 0 duplicate
354 0 1 duplicate
355 1 0 duplicate
355 1 1 duplicate
356 0 0 duplicate
356 2 1 duplicate
357 2 0 duplicate
357 3 1 duplicate
358 3 0  
358 0 1  
359 1 0 duplicate
359 1 1 duplicate
360 0 0 duplicate
360 3 1 duplicate
361 2 0 duplicate
361 2 1 duplicate
362 3 0  
362 0 1  
363 1 0 duplicate
363 1 1 duplicate
364 0 0  
364 3 1  
365 2 0 duplicate
365 2 1 duplicate
366 3 0  
366 0 1  
367 1 0 duplicate
367 1 1 duplicate
368 0 0  
368 3 1  
369 2 0 duplicate
369 2 1 duplicate
370 3 0  
370 0 1  
371 1 0 duplicate
371 1 1 duplicate
372 0 0 duplicate
372 3 1 duplicate
373 2 0  
373 2 1  
374 3 0  
374 0 1  
375 1 0 duplicate
375 1 1 duplicate
376 0 0 duplicate
376 3 1 duplicate
377 2 0  
377 2 1  
378 3 0 duplicate
378 0 1 duplicate
379 1 0 duplicate
379 1 1 duplicate
380 0 0 duplicate
380 3 1 duplicate
381 2 0  
381 2 1  
382 3 0 duplicate
382 0 1 duplicate
383 1 0 duplicate
383 1 1 duplicate
384 0 0 duplicate
384 3 1 duplicate
385 3 0 duplicate
385 2 1 duplicate
386 2 0 duplicate
386 0 1 duplicate
387 1 0 duplicate
387 1 1 duplicate
388 0 0 duplicate
388 3 1 duplicate
389 3 0 duplicate
389 2 1 duplicate
390 2 0 duplicate
390 0 1 duplicate
391 1 0 duplicate
391 1 1 duplicate
392 0 0 duplicate
392 3 1 duplicate
393 3 0 duplicate
393 2 1 duplicate
394 2 0 duplicate
394 0 1 duplicate
395 1 0 duplicate
395 1 1 duplicate
396 0 0  
396 3 1  
397 3 0 duplicate
397 2 1 duplicate
398 2 0  
398 0 1  
399 1 0 duplicate
399 1 1 duplicate
400 0 0 duplicate
