['2013', '07', '02', '04', '35', '51', '0.764160', '0']
['2013', '07', '02', '04', '35', '52', '0.770816', '0']
['2013', '07', '02', '04', '35', '53', '0.777472', '0']
['2013', '07', '02', '04', '35', '54', '0.784128', '0']
['2013', '07', '02', '04', '35', '55', '0.790784', '0']
['2013', '07', '02', '04', '35', '56', '0.797440', '0']
['2013', '07', '02', '04', '35', '57', '0.804096', '0']
['2013', '07', '02', '04', '35', '58', '0.810752', '0']
['2013', '07', '02', '04', '35', '59', '0.817152', '0']
['2013', '07', '02', '04', '36', '00', '0.823808', '0']
['2013', '07', '02', '04', '36', '01', '0.830464', '0']
['2013', '07', '02', '04', '36', '02', '0.837120', '0']
['2013', '07', '02', '04', '36', '03', '0.843776', '0']
['2013', '07', '02', '04', '36', '04', '0.850432', '0']
['2013', '07', '02', '04', '36', '05', '0.857088', '0']
['2013', '07', '02', '04', '36', '06', '0.863744', '0']
['2013', '07', '02', '04', '36', '07', '0.870400', '0']
['2013', '07', '02', '04', '36', '08', '0.877056', '0']
['2013', '07', '02', '04', '36', '09', '0.883712', '0']
['2013', '07', '02', '04', '36', '10', '0.890112', '0']
['2013', '07', '02', '04', '36', '11', '0.896768', '0']
['2013', '07', '02', '04', '36', '12', '0.903424', '0']
['2013', '07', '02', '04', '36', '13', '0.910080', '0']
['2013', '07', '02', '04', '36', '14', '0.916736', '0']
['2013', '07', '02', '04', '36', '15', '0.923392', '0']
['2013', '07', '02', '04', '36', '16', '0.930048', '0']
['2013', '07', '02', '04', '36', '17', '0.936704', '0']
['2013', '07', '02', '04', '36', '18', '0.943360', '0']
['2013', '07', '02', '04', '36', '19', '0.950016', '0']
['2013', '07', '02', '04', '36', '20', '0.956672', '0']
['2013', '07', '02', '04', '36', '21', '0.963072', '0']
['2013', '07', '02', '04', '36', '22', '0.969728', '0']
['2013', '07', '02', '04', '36', '23', '0.976384', '0']
['2013', '07', '02', '04', '36', '24', '0.983040', '0']
['2013', '07', '02', '04', '36', '25', '0.989696', '0']
['2013', '07', '02', '04', '36', '26', '0.996352', '0']
['2013', '07', '02', '04', '36', '28', '0.003072', '0']
['2013', '07', '02', '04', '36', '29', '0.009728', '0']
['2013', '07', '02', '04', '36', '30', '0.016128', '0']
['2013', '07', '02', '04', '36', '31', '0.022784', '0']
['2013', '07', '02', '04', '36', '32', '0.029440', '0']
['2013', '07', '02', '04', '36', '33', '0.036096', '0']
['2013', '07', '02', '04', '36', '34', '0.042752', '0']
['2013', '07', '02', '04', '36', '35', '0.049408', '0']
['2013', '07', '02', '04', '36', '36', '0.307968', '0']
['2013', '07', '02', '04', '36', '37', '0.314624', '0']
['2013', '07', '02', '04', '36', '38', '0.321280', '0']
['2013', '07', '02', '04', '36', '39', '0.327680', '0']
['2013', '07', '02', '04', '36', '40', '0.334336', '0']
['2013', '07', '02', '04', '36', '41', '0.340992', '0']
['2013', '07', '02', '04', '36', '42', '0.347648', '0']
['2013', '07', '02', '04', '36', '43', '0.354304', '0']
['2013', '07', '02', '04', '36', '44', '0.360960', '0']
['2013', '07', '02', '04', '36', '45', '0.367616', '0']
['2013', '07', '02', '04', '36', '46', '0.374016', '0']
['2013', '07', '02', '04', '36', '47', '0.380672', '0']
['2013', '07', '02', '04', '36', '48', '0.387328', '0']
['2013', '07', '02', '04', '36', '49', '0.393984', '0']
['2013', '07', '02', '04', '36', '50', '0.400640', '0']
['2013', '07', '02', '04', '36', '51', '0.407296', '0']
['2013', '07', '02', '04', '36', '52', '0.413952', '0']
['2013', '07', '02', '04', '36', '53', '0.420608', '0']
['2013', '07', '02', '04', '36', '54', '0.427264', '0']
['2013', '07', '02', '04', '36', '55', '0.433920', '0']
['2013', '07', '02', '04', '36', '56', '0.440576', '0']
['2013', '07', '02', '04', '36', '57', '0.447232', '0']
['2013', '07', '02', '04', '36', '58', '0.453888', '0']
['2013', '07', '02', '04', '36', '59', '0.460288', '0']
['2013', '07', '02', '04', '37', '00', '0.467200', '0']
['2013', '07', '02', '04', '37', '01', '0.473600', '0']
['2013', '07', '02', '04', '37', '02', '0.480256', '0']
['2013', '07', '02', '04', '37', '03', '0.486912', '0']
['2013', '07', '02', '04', '37', '04', '0.493568', '0']
['2013', '07', '02', '04', '37', '05', '0.500224', '0']
['2013', '07', '02', '04', '37', '06', '0.506880', '0']
['2013', '07', '02', '04', '37', '07', '0.513536', '0']
['2013', '07', '02', '04', '37', '08', '0.520192', '0']
['2013', '07', '02', '04', '37', '09', '0.526848', '0']
['2013', '07', '02', '04', '37', '10', '0.533504', '0']
['2013', '07', '02', '04', '37', '11', '0.539904', '0']
['2013', '07', '02', '04', '37', '12', '0.546560', '0']
['2013', '07', '02', '04', '37', '13', '0.553216', '0']
['2013', '07', '02', '04', '37', '14', '0.559872', '0']
['2013', '07', '02', '04', '37', '15', '0.566528', '0']
['2013', '07', '02', '04', '37', '16', '0.321280', '0']
['2013', '07', '02', '04', '37', '17', '0.327936', '0']
['2013', '07', '02', '04', '37', '18', '0.334592', '0']
['2013', '07', '02', '04', '37', '19', '0.341248', '0']
['2013', '07', '02', '04', '37', '20', '0.347904', '0']
['2013', '07', '02', '04', '37', '21', '0.354560', '0']
['2013', '07', '02', '04', '37', '22', '0.361216', '0']
['2013', '07', '02', '04', '37', '23', '0.367616', '0']
['2013', '07', '02', '04', '37', '24', '0.374272', '0']
['2013', '07', '02', '04', '37', '25', '0.380928', '0']
['2013', '07', '02', '04', '37', '26', '0.387584', '0']
['2013', '07', '02', '04', '37', '27', '0.394240', '0']
['2013', '07', '02', '04', '37', '28', '0.400896', '0']
['2013', '07', '02', '04', '37', '29', '0.407552', '0']
['2013', '07', '02', '04', '37', '30', '0.414208', '0']
['2013', '07', '02', '04', '37', '31', '0.420864', '0']
['2013', '07', '02', '04', '37', '32', '0.679168', '0']
['2013', '07', '02', '04', '37', '33', '0.685824', '0']
['2013', '07', '02', '04', '37', '34', '0.692480', '0']
['2013', '07', '02', '04', '37', '35', '0.699136', '0']
['2013', '07', '02', '04', '37', '36', '0.705792', '0']
['2013', '07', '02', '04', '37', '37', '0.712448', '0']
['2013', '07', '02', '04', '37', '38', '0.719104', '0']
['2013', '07', '02', '04', '37', '39', '0.725504', '0']
['2013', '07', '02', '04', '37', '40', '0.732160', '0']
['2013', '07', '02', '04', '37', '41', '0.738816', '0']
['2013', '07', '02', '04', '37', '42', '0.745728', '0']
['2013', '07', '02', '04', '37', '43', '0.752128', '0']
['2013', '07', '02', '04', '37', '44', '0.758784', '0']
['2013', '07', '02', '04', '37', '45', '0.765440', '0']
['2013', '07', '02', '04', '37', '46', '0.772096', '0']
['2013', '07', '02', '04', '37', '47', '0.778752', '0']
['2013', '07', '02', '04', '37', '48', '0.785408', '0']
['2013', '07', '02', '04', '37', '49', '0.792064', '0']
['2013', '07', '02', '04', '37', '50', '0.798720', '0']
['2013', '07', '02', '04', '37', '51', '0.805120', '0']
['2013', '07', '02', '04', '37', '52', '0.811776', '0']
['2013', '07', '02', '04', '37', '53', '0.818432', '0']
['2013', '07', '02', '04', '37', '54', '0.825088', '0']
['2013', '07', '02', '04', '37', '55', '0.831744', '0']
['2013', '07', '02', '04', '37', '56', '0.838400', '0']
['2013', '07', '02', '04', '37', '57', '0.845056', '0']
['2013', '07', '02', '04', '37', '58', '0.851712', '0']
['2013', '07', '02', '04', '37', '59', '0.858368', '0']
['2013', '07', '02', '04', '38', '00', '0.865024', '0']
