2 3 1  
435 3 1 duplicate
436 0 0 duplicate
436 2 1 duplicate
437 3 0 duplicate
437 0 1 duplicate
438 1 0 duplicate
438 1 1 duplicate
439 2 0 duplicate
439 3 1 duplicate
440 0 0 duplicate
440 2 1 duplicate
441 3 0 duplicate
441 0 1 duplicate
442 1 0 duplicate
442 1 1 duplicate
443 2 0 duplicate
443 3 1 duplicate
444 0 0 duplicate
444 2 1 duplicate
445 3 0 duplicate
445 0 1 duplicate
446 1 0 duplicate
446 1 1 duplicate
447 2 0 duplicate
447 3 1 duplicate
448 0 0 duplicate
448 2 1 duplicate
449 3 0 duplicate
449 0 1 duplicate
450 1 0 duplicate
450 1 1 duplicate
451 2 0 duplicate
451 3 1 duplicate
452 0 0 duplicate
452 2 1 duplicate
453 3 0 duplicate
453 0 1 duplicate
454 1 0 duplicate
454 1 1 duplicate
455 2 0 duplicate
455 3 1 duplicate
456 0 0 duplicate
456 2 1 duplicate
457 3 0 duplicate
457 0 1 duplicate
458 1 0 duplicate
458 1 1 duplicate
459 2 0 duplicate
459 3 1 duplicate
460 0 0 duplicate
460 2 1 duplicate
461 3 0 duplicate
461 0 1 duplicate
462 1 0 duplicate
462 1 1 duplicate
463 2 0 duplicate
463 3 1 duplicate
464 0 0 duplicate
464 2 1 duplicate
465 3 0 duplicate
465 0 1 duplicate
466 1 0 duplicate
466 1 1 duplicate
467 2 0 duplicate
467 3 1 duplicate
468 0 0 duplicate
468 2 1 duplicate
469 3 0 duplicate
469 0 1 duplicate
470 1 0 duplicate
470 1 1 duplicate
471 2 0 duplicate
471 3 1 duplicate
472 0 0 duplicate
472 2 1 duplicate
473 3 0 duplicate
473 0 1 duplicate
474 1 0 duplicate
474 1 1 duplicate
475 2 0 duplicate
475 3 1 duplicate
476 0 0 duplicate
476 2 1 duplicate
477 3 0 duplicate
477 0 1 duplicate
478 1 0 duplicate
478 1 1 duplicate
479 2 0 duplicate
479 3 1 duplicate
480 0 0 duplicate
480 2 1 duplicate
481 3 0 duplicate
481 0 1 duplicate
482 1 0 duplicate
482 1 1 duplicate
483 2 0 duplicate
483 3 1 duplicate
484 0 0 duplicate
484 2 1 duplicate
485 3 0 duplicate
485 0 1 duplicate
486 1 0 duplicate
486 1 1 duplicate
487 2 0 duplicate
487 3 1 duplicate
488 0 0 duplicate
488 2 1 duplicate
489 3 0 duplicate
489 0 1 duplicate
490 1 0 duplicate
490 1 1 duplicate
491 2 0 duplicate
491 3 1 duplicate
492 0 0 duplicate
492 2 1 duplicate
493 3 0 duplicate
493 0 1 duplicate
494 1 0 duplicate
494 1 1 duplicate
495 2 0 duplicate
495 3 1 duplicate
496 0 0 duplicate
496 2 1 duplicate
497 3 0 duplicate
497 0 1 duplicate
498 1 0 duplicate
498 1 1 duplicate
499 2 0 duplicate
499 3 1 duplicate
500 0 0 duplicate
500 2 1 duplicate
501 3 0 duplicate
501 0 1 duplicate
502 1 0 duplicate
502 1 1 duplicate
503 2 0 duplicate
503 3 1 duplicate
504 0 0 duplicate
504 2 1 duplicate
505 3 0 duplicate
505 0 1 duplicate
506 1 0 duplicate
506 3 1 duplicate
507 2 0 duplicate
507 1 1 duplicate
508 0 0 duplicate
508 2 1 duplicate
509 3 0 duplicate
509 3 1 duplicate
510 1 0 duplicate
510 0 1 duplicate
511 2 0 duplicate
511 1 1 duplicate
512 0 0 duplicate
